sq_mt_built,sq_mt_built_imputed_flag,n_rooms,n_bathrooms,n_bathrooms_imputed_flag,n_floors,n_floors_imputed_flag,street_name,floor,floor_imputed_flag,is_floor_under,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,is_new_development_imputed_flag,built_year,built_year_imputed_flag,has_ac,has_fitted_wardrobes,has_lift,has_lift_imputed_flag,is_exterior,is_exterior_imputed_flag,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,house_type_cat,house_type_name,neighborhood_code,neighborhood_name,neighborhood_price_sqm,district_code,district_name,heating_type
66.0,0,3,1.0,0,0.0,1,Calle Castillejos,2,0,False,170000,2576,False,False,0,1945.0,0,False,True,True,0,True,0,,,,,,True,,en trámite,False,,,,,,,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,individual
63.0,0,2,1.0,0,0.0,1,Paseo de la Dirección,2,0,False,226900,3602,False,False,0,2002.0,0,True,True,True,0,False,0,,True,,,True,True,True,no indicado,True,True,0.0,False,False,False,True,1,Pisos,112,Berruguete,3273.56,17,Tetuán,individual
45.0,0,1,1.0,0,0.0,1,Calle de la Hierbabuena,1,0,False,159000,3533,False,False,0,1999.0,0,True,True,False,0,True,0,,,,,,,,en trámite,False,,,False,False,False,True,1,Pisos,112,Berruguete,3273.56,17,Tetuán,individual
114.0,0,2,2.0,0,0.0,1,Calle de la Infanta Mercedes,4,0,False,570000,5000,False,False,0,1973.0,0,True,True,True,0,True,0,,,,,,,,en trámite,True,True,0.0,,,,,1,Pisos,114,Cuzco-Castillejos,4347.59,17,Tetuán,individual
311.0,0,5,2.0,0,2.0,0,Calle Nenúfar,0,1,False,725000,2331,False,False,1,1998.0,0,False,True,Unknown,1,Unknown,1,,,True,,,,,no indicado,True,True,0.0,,,,,2,Casa o chalet,112,Berruguete,3273.56,17,Tetuán,unknown
76.0,0,2,1.0,0,0.0,1,Genciana,2,0,False,195000,2566,False,False,0,2002.0,0,False,True,True,0,True,0,,,,,True,True,,en trámite,False,,,,,,,1,Pisos,115,Valdeacederas,3163.8,17,Tetuán,unknown
100.0,0,3,2.0,0,0.0,1,Calle de las Margaritas,1,0,False,330000,3300,True,False,0,1960.0,0,False,True,False,0,True,0,,,True,,,,,no indicado,False,,,,,,,1,Pisos,112,Berruguete,3273.56,17,Tetuán,individual
42.0,0,1,1.0,0,0.0,1,Calle del Trébol,Bajo,0,True,150000,3571,False,False,0,2020.0,1,False,True,True,0,True,0,,,,,,,,D,False,,,,,,,1,Pisos,115,Valdeacederas,3163.8,17,Tetuán,individual
65.0,0,1,1.0,0,0.0,1,Calle Zamora,2,0,False,205000,3154,False,False,0,1998.0,0,True,True,False,0,True,0,,,,,,,,en trámite,False,,,False,True,False,True,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,individual
350.0,0,7,3.0,0,0.0,1,Paseo DE LA CASTELLANA,4,0,False,2161000,6174,False,False,0,1980.0,0,True,True,True,0,True,0,,,True,,True,True,,en trámite,True,True,0.0,False,False,True,True,1,Pisos,114,Cuzco-Castillejos,4347.59,17,Tetuán,central
239.0,0,5,3.0,0,0.0,1,"Calle de Rosario Pino, Madrid",4,0,False,990000,4142,False,False,0,1970.0,0,True,False,True,0,True,0,,,,,,,,no indicado,False,,,,,,,1,Pisos,114,Cuzco-Castillejos,4347.59,17,Tetuán,central
49.0,0,1,1.0,0,0.0,1,Travesía de Berruguete,1,0,False,169900,3467,False,False,0,2013.0,0,True,True,True,0,True,0,,,,,True,True,,en trámite,False,,,,,,,1,Pisos,112,Berruguete,3273.56,17,Tetuán,unknown
85.0,0,3,1.0,0,0.0,1,"Calle Aguileñas, Madrid",2,0,False,245000,2882,True,False,0,1958.0,0,False,True,False,0,True,0,,,,,,,,en trámite,False,,,False,False,False,True,1,Pisos,116,Ventilla-Almenara,3314.54,17,Tetuán,individual
130.0,0,2,1.0,0,0.0,1,Paseo de la Castellana,8,0,False,670000,5154,False,False,0,1973.0,1,True,False,True,0,True,0,,True,,,,True,,en trámite,False,,,,,,,1,Pisos,114,Cuzco-Castillejos,4347.59,17,Tetuán,individual
220.0,0,2,2.0,0,0.0,1,Paseo de la Castellana,3,0,False,880000,4000,False,False,0,1960.0,1,True,True,True,0,True,0,,,True,True,,True,True,no indicado,True,True,0.0,False,False,False,True,1,Pisos,113,Cuatro Caminos,4247.49,17,Tetuán,individual
65.0,0,3,1.0,0,0.0,1,Calle Jerónima Llorente,5,0,False,236000,3631,False,False,0,1925.0,1,True,False,True,0,False,0,,,True,,,,,E,False,,,False,False,False,True,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,individual
144.0,0,4,3.0,0,0.0,1,Calle Cuatro Amigos,7,0,False,580000,4028,False,False,0,1981.0,1,False,False,True,0,True,0,,,,,,,,E,False,,,,,,,1,Pisos,116,Ventilla-Almenara,3314.54,17,Tetuán,central
61.0,0,2,1.0,0,0.0,1,Algodonales,Bajo,0,True,149000,2443,False,False,0,1903.0,0,True,True,False,0,True,0,,,,,,,,en trámite,False,,,,,,,1,Pisos,112,Berruguete,3273.56,17,Tetuán,individual
97.0,0,3,1.0,0,0.0,1,Calle Navarra,2,0,False,295000,3041,False,False,0,1920.0,0,True,False,False,0,True,0,,,,,,,,en trámite,False,,,False,False,False,True,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,individual
60.0,0,2,1.0,0,0.0,1,Calle Manuela Mínguez,1,0,False,154000,2567,False,False,0,1960.0,0,True,True,False,0,False,0,,,True,,,,,en trámite,False,,,True,False,False,False,1,Pisos,115,Valdeacederas,3163.8,17,Tetuán,individual
77.0,0,2,2.0,0,0.0,1,Cuzco-Castillejos,Bajo,0,True,325000,4221,False,False,0,1973.0,1,False,False,True,0,True,0,,,,,,True,,F,False,,,,,,,1,Pisos,114,Cuzco-Castillejos,4347.59,17,Tetuán,central
